"year","population","region","property_crime","violent_crime","cluster_number"
2005,4557808,"alabama",3892.1,431.7,"2"
2005,663661,"alaska",3612.5,631.9,"3"
2005,5939292,"arizona",4838,513.2,"2"
2005,2779154,"arkansas",4057.9,527.5,"2"
2005,36132147,"california",3322.6,526.3,"3"
2005,4665177,"colorado",4039.5,396.5,"2"
2005,3510297,"connecticut",2558,274.5,"1"
2005,843524,"delaware",3111.4,632.1,"3"
2005,550521,"district of columbia",4747,1459,"3"
2005,17789864,"florida",4007.9,708,"3"
2005,9072576,"georgia",4172.3,448.9,"2"
2005,1275194,"hawaii",4792.6,255.1,"2"
2005,1429096,"idaho",2697.9,256.8,"1"
2005,12763371,"illinois",3080.3,551.5,"3"
2005,6271973,"indiana",3456.3,323.7,"2"
2005,2966334,"iowa",2833.7,291.3,"1"
2005,2744687,"kansas",3787,387.4,"2"
2005,4173405,"kentucky",2530.5,266.8,"1"
2005,4523628,"louisiana",3683.1,594.4,"3"
2005,1321505,"maine",2413.1,112.2,"1"
2005,5600388,"maryland",3544.1,703,"3"
2005,6398743,"massachusetts",2363.6,456.9,"1"
2005,10120860,"michigan",3091.1,552.1,"3"
2005,5132799,"minnesota",3084.1,297,"1"
2005,2921088,"mississippi",3260.1,278.4,"2"
2005,5800310,"missouri",3927.5,525.4,"2"
2005,935670,"montana",3142.9,281.5,"1"
2005,1758787,"nebraska",3423.2,287,"2"
2005,2414807,"nevada",4241.5,606.8,"2"
2005,1309940,"new hampshire",1796.4,132,"1"
2005,8717925,"new jersey",2333,354.7,"1"
2005,1928384,"new mexico",4148.3,702.2,"3"
2005,19254630,"new york",2108.5,445.8,"1"
2005,8683242,"north carolina",4075.1,468.1,"2"
2005,636677,"north dakota",1978.2,98.2,"1"
2005,11464042,"ohio",3662.7,351.3,"2"
2005,3547884,"oklahoma",4042,508.6,"2"
2005,3641056,"oregon",4399.8,286.8,"2"
2005,12429616,"pennsylvania",2417.2,424.5,"1"
2005,3912054,"puerto rico",1417.8,244.9,"1"
2005,1076189,"rhode island",2718.9,251.2,"1"
2005,4255083,"south carolina",4339.4,761.1,"3"
2005,775933,"south dakota",1776.4,175.7,"1"
2005,5962959,"tennessee",4275.5,752.8,"3"
2005,22859968,"texas",4332,529.7,"2"
2005,2469585,"utah",3868.9,227.2,"2"
2005,623050,"vermont",2280.7,119.7,"1"
2005,7567465,"virginia",2638.2,282.8,"1"
2005,6287759,"washington",4893,345.8,"2"
2005,1816856,"west virginia",2625.2,272.8,"1"
2005,5536201,"wisconsin",2660.2,241.5,"1"
2005,509294,"wyoming",3155.3,230.1,"2"
2006,4599030,"alabama",3936.1,425.2,"3"
2006,670053,"alaska",3604.9,688,"2"
2006,6166318,"arizona",4627.9,501.4,"3"
2006,2810872,"arkansas",3967.5,551.6,"3"
2006,36457549,"california",3170.9,532.5,"2"
2006,4753377,"colorado",3451.3,391.6,"3"
2006,3504809,"connecticut",2504.1,280.8,"1"
2006,853476,"delaware",3417.9,681.6,"2"
2006,581530,"district of columbia",4653.8,1508.4,"2"
2006,18089888,"florida",3986.1,712,"2"
2006,9363941,"georgia",3889.2,471,"3"
2006,1285498,"hawaii",4230.4,281.2,"3"
2006,1466465,"idaho",2418.8,247.2,"1"
2006,12831970,"illinois",3019.6,541.6,"2"
2006,6313520,"indiana",3502.4,314.8,"3"
2006,2982085,"iowa",2802.7,283.5,"1"
2006,2764075,"kansas",3750.2,425,"3"
2006,4206074,"kentucky",2544.5,263,"1"
2006,4287768,"louisiana",3993.7,697.8,"2"
2006,1321574,"maine",2518.7,115.5,"1"
2006,5615727,"maryland",3480.9,678.6,"2"
2006,6437193,"massachusetts",2391,447,"1"
2006,10095643,"michigan",3212.8,562.4,"2"
2006,5167101,"minnesota",3079.5,312,"3"
2006,2910540,"mississippi",3208.8,298.6,"3"
2006,5842713,"missouri",3826.5,545.6,"3"
2006,944632,"montana",2687.5,253.7,"1"
2006,1768331,"nebraska",3340.7,281.8,"3"
2006,2495529,"nevada",4088.8,741.6,"2"
2006,1314895,"new hampshire",1874.1,138.7,"1"
2006,8724560,"new jersey",2291.9,351.6,"1"
2006,1954599,"new mexico",3937.2,643.2,"2"
2006,19306183,"new york",2052.7,434.9,"1"
2006,8856505,"north carolina",4120.8,475.6,"3"
2006,635867,"north dakota",2000.3,127.9,"1"
2006,11478006,"ohio",3678.6,350.3,"3"
2006,3579212,"oklahoma",3604.2,497.4,"3"
2006,3700758,"oregon",3672.1,280.3,"3"
2006,12440621,"pennsylvania",2443.5,439.4,"1"
2006,3927776,"puerto rico",1354.4,227.3,"1"
2006,1067610,"rhode island",2586.9,227.5,"1"
2006,4321249,"south carolina",4242.3,765.5,"2"
2006,781919,"south dakota",1619.6,171.4,"1"
2006,6038803,"tennessee",4128.3,760.2,"2"
2006,23507783,"texas",4081.5,516.3,"3"
2006,2550063,"utah",3516.4,224.4,"3"
2006,623908,"vermont",2304.7,136.6,"1"
2006,7642884,"virginia",2478.2,282.2,"1"
2006,6395798,"washington",4480,345.9,"3"
2006,1818470,"west virginia",2621.5,279.7,"1"
2006,5556506,"wisconsin",2817.8,284,"1"
2006,515004,"wyoming",2980.6,239.6,"3"
2007,4627851,"alabama",3971.6,448,"1"
2007,683478,"alaska",3379.5,661.2,"2"
2007,6338755,"arizona",4414,482.7,"1"
2007,2834797,"arkansas",3953.1,529.4,"1"
2007,36553215,"california",3033,522.6,"2"
2007,4861515,"colorado",3006.1,347.8,"3"
2007,3502309,"connecticut",2399.9,256,"3"
2007,864764,"delaware",3370.1,689.2,"2"
2007,588292,"district of columbia",4913.9,1414.3,"2"
2007,18251243,"florida",4089.3,722.6,"2"
2007,9544750,"georgia",3901,493.2,"1"
2007,1283388,"hawaii",4225.4,272.8,"1"
2007,1499402,"idaho",2246.6,239.4,"3"
2007,12852548,"illinois",2935.8,533.2,"2"
2007,6345289,"indiana",3396.6,333.6,"1"
2007,2988046,"iowa",2615.6,294.7,"3"
2007,2775997,"kansas",3678.7,452.7,"1"
2007,4241474,"kentucky",2518.3,295,"3"
2007,4293204,"louisiana",4076,729.5,"2"
2007,1317207,"maine",2428.8,118,"3"
2007,5618344,"maryland",3431.5,641.9,"2"
2007,6449755,"massachusetts",2391.5,431.5,"3"
2007,10071822,"michigan",3065.7,536,"2"
2007,5197621,"minnesota",3036.6,288.7,"1"
2007,2918785,"mississippi",3200.8,291.3,"1"
2007,5878415,"missouri",3738.4,504.9,"1"
2007,957861,"montana",2765.4,287.5,"3"
2007,1774571,"nebraska",3161.4,302.4,"1"
2007,2565382,"nevada",3777.8,750.6,"2"
2007,1315828,"new hampshire",1892,137.3,"3"
2007,8685920,"new jersey",2213.1,329.3,"3"
2007,1969915,"new mexico",3725.7,664.2,"2"
2007,19297729,"new york",1978.6,414.1,"3"
2007,9061032,"north carolina",4087.3,466.4,"1"
2007,639715,"north dakota",1889.6,142.4,"3"
2007,11466917,"ohio",3455.2,343.2,"1"
2007,3617316,"oklahoma",3526.4,499.6,"1"
2007,3747455,"oregon",3526.2,287.6,"1"
2007,12432792,"pennsylvania",2361.3,416.5,"3"
2007,3941459,"puerto rico",1368.5,226.9,"3"
2007,1057832,"rhode island",2622.6,227.3,"3"
2007,4407709,"south carolina",4271.7,788.3,"2"
2007,796214,"south dakota",1652.3,169.2,"3"
2007,6156719,"tennessee",4088.6,753.3,"2"
2007,23904380,"texas",4121.2,510.6,"1"
2007,2645330,"utah",3500.3,234.8,"1"
2007,621254,"vermont",2322.7,124.3,"3"
2007,7712091,"virginia",2466.4,269.7,"3"
2007,6468424,"washington",4030.8,333.1,"1"
2007,1812035,"west virginia",2525,275.2,"3"
2007,5601640,"wisconsin",2837.7,290.9,"3"
2007,522830,"wyoming",2865.9,239.3,"3"
2008,4661900,"alabama",4082.9,452.8,"3"
2008,686293,"alaska",2932.3,651.9,"2"
2008,6500180,"arizona",4291,447,"3"
2008,2855390,"arkansas",3835.1,503.4,"3"
2008,36756666,"california",2940.3,503.8,"2"
2008,4939456,"colorado",2849,343.1,"1"
2008,3501252,"connecticut",2458.7,297.8,"1"
2008,873092,"delaware",3585.3,703.4,"2"
2008,591833,"district of columbia",5104.6,1437.7,"2"
2008,18328340,"florida",4140.8,688.9,"2"
2008,9685744,"georgia",4015.5,478.9,"3"
2008,1288198,"hawaii",3571.2,272.6,"3"
2008,1523816,"idaho",2101.2,228.6,"1"
2008,12901563,"illinois",2932.6,525.4,"2"
2008,6376792,"indiana",3335.8,333.8,"3"
2008,3002555,"iowa",2420.9,283.8,"1"
2008,2802134,"kansas",3377.2,410.6,"3"
2008,4269245,"kentucky",2583.9,296.2,"1"
2008,4410796,"louisiana",3823.1,656.2,"2"
2008,1316456,"maine",2452.4,117.5,"1"
2008,5633597,"maryland",3517.6,628.2,"2"
2008,6497967,"massachusetts",2400.1,449,"1"
2008,10003422,"michigan",2934.8,501.5,"2"
2008,5220393,"minnesota",2850.6,262.8,"1"
2008,2938618,"mississippi",2940.4,284.9,"1"
2008,5911605,"missouri",3663.7,504.4,"3"
2008,967440,"montana",2603,258.1,"1"
2008,1783432,"nebraska",2878.6,303.7,"1"
2008,2600167,"nevada",3447.5,724.5,"2"
2008,1315809,"new hampshire",2091.9,157.2,"1"
2008,8682661,"new jersey",2293.4,326.5,"1"
2008,1984356,"new mexico",3909.2,649.9,"2"
2008,19490297,"new york",1993.5,398.1,"1"
2008,9222414,"north carolina",4044.1,467.3,"3"
2008,641481,"north dakota",1894.4,166.5,"1"
2008,11485910,"ohio",3411.7,348.2,"3"
2008,3642361,"oklahoma",3442.4,526.7,"2"
2008,3790060,"oregon",3282.2,257.2,"3"
2008,12448279,"pennsylvania",2410.2,410,"1"
2008,3954037,"puerto rico",1498.6,239.9,"1"
2008,1050788,"rhode island",2840.6,249.4,"1"
2008,4479800,"south carolina",4234.2,729.7,"2"
2008,804194,"south dakota",1645.6,201.4,"1"
2008,6214888,"tennessee",4042.6,722.4,"2"
2008,24326974,"texas",3985.6,507.9,"3"
2008,2736424,"utah",3357.4,221.8,"3"
2008,621270,"vermont",2538.5,135.9,"1"
2008,7769089,"virginia",2518.1,255.9,"1"
2008,6549224,"washington",3758.4,331.2,"3"
2008,1814468,"west virginia",2568.6,273.8,"1"
2008,5627967,"wisconsin",2756.4,274,"1"
2008,532668,"wyoming",2717.3,232,"1"
2009,4708708,"alabama",3772.4,449.8,"3"
2009,698473,"alaska",2946,633,"1"
2009,6595778,"arizona",3556.5,408.3,"3"
2009,2889450,"arkansas",3773.7,517.7,"3"
2009,36961664,"california",2731.5,472,"2"
2009,5024748,"colorado",2666.2,337.8,"2"
2009,3518288,"connecticut",2335.8,298.7,"2"
2009,885122,"delaware",3349.6,636.6,"1"
2009,599657,"district of columbia",4745.4,1345.9,"1"
2009,18537969,"florida",3840.8,612.5,"1"
2009,9829211,"georgia",3666.6,426.1,"3"
2009,1295178,"hawaii",3661.2,274.8,"3"
2009,1545801,"idaho",1988.7,228.4,"2"
2009,12910409,"illinois",2736.9,497.2,"2"
2009,6423113,"indiana",3116.2,333.2,"3"
2009,3007856,"iowa",2308.7,279.2,"2"
2009,2818747,"kansas",3207.8,400.1,"3"
2009,4314113,"kentucky",2512.7,258.7,"2"
2009,4492076,"louisiana",3794.6,620,"1"
2009,1318301,"maine",2403.5,119.8,"2"
2009,5699478,"maryland",3200.7,589.9,"1"
2009,6593587,"massachusetts",2304,457.1,"2"
2009,9969727,"michigan",2837.8,497,"2"
2009,5266214,"minnesota",2641,243.9,"2"
2009,2951996,"mississippi",2953.3,281.3,"3"
2009,5987580,"missouri",3385.3,491.8,"3"
2009,974989,"montana",2464,253.6,"2"
2009,1796619,"nebraska",2761.5,281.6,"2"
2009,2643085,"nevada",3055.6,702.2,"1"
2009,1324575,"new hampshire",2161,159.6,"2"
2009,8707739,"new jersey",2079.7,311.5,"2"
2009,2009671,"new mexico",3735.8,619,"1"
2009,19541453,"new york",1936,384.7,"2"
2009,9380884,"north carolina",3668.1,404.3,"3"
2009,646844,"north dakota",1932.8,200.7,"2"
2009,11542645,"ohio",3270.9,332.1,"3"
2009,3687050,"oklahoma",3573.8,501.1,"3"
2009,3825657,"oregon",2967.1,254.7,"3"
2009,12604767,"pennsylvania",2201.6,380.5,"2"
2009,3967288,"puerto rico",1410,264.5,"2"
2009,1053209,"rhode island",2610.8,252.6,"2"
2009,4561242,"south carolina",3888.6,670.8,"1"
2009,812383,"south dakota",1719.4,185.6,"2"
2009,6296254,"tennessee",3754.1,667.7,"1"
2009,24782302,"texas",4015.5,490.9,"3"
2009,2784572,"utah",3275.4,212.7,"3"
2009,621760,"vermont",2401.4,131.4,"2"
2009,7882590,"virginia",2428.8,226.8,"2"
2009,6664195,"washington",3666.9,331,"3"
2009,1819777,"west virginia",2526.7,296.5,"2"
2009,5654774,"wisconsin",2608.2,257,"2"
2009,544270,"wyoming",2637.3,228.2,"2"
2010,4779736,"alabama",3516.8,377.8,"2"
2010,710231,"alaska",2852.5,638.8,"3"
2010,6392017,"arizona",3534,408.1,"2"
2010,2915918,"arkansas",3558.9,505.3,"2"
2010,37253956,"california",2635.8,440.6,"3"
2010,5029196,"colorado",2684.2,320.8,"2"
2010,3574097,"connecticut",2193.2,281.4,"3"
2010,897934,"delaware",3448.2,620.9,"2"
2010,601723,"district of columbia",4778.9,1330.2,"1"
2010,18801310,"florida",3558.4,542.4,"2"
2010,9687653,"georgia",3640.5,403.3,"2"
2010,1360301,"hawaii",3314.2,262.7,"2"
2010,1567582,"idaho",1995.8,221,"3"
2010,12830632,"illinois",2681,435.2,"3"
2010,6483802,"indiana",3042.4,314.5,"2"
2010,3046355,"iowa",2242.5,273.5,"3"
2010,2853118,"kansas",3119.9,369.1,"2"
2010,4339367,"kentucky",2551.3,242.6,"2"
2010,4533372,"louisiana",3647.5,549,"2"
2010,1328361,"maine",2479.3,122,"2"
2010,5773552,"maryland",2997.3,547.7,"3"
2010,6547629,"massachusetts",2350.5,466.6,"3"
2010,9883640,"michigan",2713.6,490.3,"3"
2010,5303925,"minnesota",2572.3,236,"2"
2010,2967297,"mississippi",2985,269.7,"2"
2010,5988927,"missouri",3346.4,455,"2"
2010,989415,"montana",2543.8,272.2,"2"
2010,1826341,"nebraska",2673.2,279.5,"2"
2010,2700551,"nevada",2774.7,660.6,"3"
2010,1316470,"new hampshire",2186.3,167,"3"
2010,8791894,"new jersey",2081.9,307.7,"3"
2010,2059179,"new mexico",3435.4,588.9,"2"
2010,19378102,"new york",1941.2,392.1,"3"
2010,9535483,"north carolina",3447.3,363.4,"2"
2010,672591,"north dakota",1768.5,225,"3"
2010,11536504,"ohio",3245.2,315.2,"2"
2010,3751351,"oklahoma",3415.5,479.5,"2"
2010,3831074,"oregon",3012.9,252,"2"
2010,12702379,"pennsylvania",2173,366.2,"3"
2010,1052567,"rhode island",2556.6,256.6,"2"
2010,4625364,"south carolina",3900.4,597.7,"2"
2010,814180,"south dakota",1852.4,268.5,"3"
2010,6346105,"tennessee",3657.9,613.3,"2"
2010,25145561,"texas",3783,450.3,"2"
2010,2763885,"utah",3179.6,212.7,"2"
2010,625741,"vermont",2282.3,130.2,"2"
2010,8001024,"virginia",2327.2,213.6,"3"
2010,6724540,"washington",3706.6,313.8,"2"
2010,1852994,"west virginia",2239.6,314.6,"3"
2010,5686986,"wisconsin",2507.7,248.7,"2"
2010,563626,"wyoming",2461.6,195.9,"2"
2011,4802740,"alabama",3606.1,420.1,"1"
2011,722718,"alaska",2632.8,606.5,"2"
2011,6482505,"arizona",3554.5,405.9,"1"
2011,2937979,"arkansas",3754.1,480.9,"1"
2011,37691912,"california",2583.8,411.1,"2"
2011,5116796,"colorado",2606.3,320.2,"2"
2011,3580709,"connecticut",2167.4,272.8,"2"
2011,907135,"delaware",3410.6,559.5,"1"
2011,617996,"district of columbia",4795.5,1202.1,"3"
2011,19057542,"florida",3522,515.3,"1"
2011,9815210,"georgia",3626.5,373.2,"1"
2011,1374810,"hawaii",3337.8,287.2,"1"
2011,1584985,"idaho",2068.6,200.9,"2"
2011,12869257,"illinois",2688.8,429.3,"2"
2011,6516922,"indiana",3161.8,331.8,"1"
2011,3062309,"iowa",2330.3,255.6,"2"
2011,2871238,"kansas",3080.1,353.9,"1"
2011,4369356,"kentucky",2708.8,238.2,"1"
2011,4574836,"louisiana",3688.5,555.3,"1"
2011,1328188,"maine",2545.5,123.2,"1"
2011,5828289,"maryland",2860.2,494.1,"2"
2011,6587536,"massachusetts",2258.7,428.4,"2"
2011,9876187,"michigan",2612.1,445.3,"2"
2011,5344861,"minnesota",2549.4,221.2,"2"
2011,2978512,"mississippi",3025.5,269.8,"1"
2011,6010688,"missouri",3308.8,447.4,"1"
2011,998199,"montana",2319.7,267.5,"2"
2011,1842641,"nebraska",2752.9,253.2,"1"
2011,2723322,"nevada",2560.5,562.1,"2"
2011,1318194,"new hampshire",2283.9,188,"2"
2011,8821155,"new jersey",2150.7,308.4,"2"
2011,2082224,"new mexico",3531.5,567.5,"1"
2011,19465197,"new york",1912.4,398.1,"2"
2011,9656401,"north carolina",3526.8,349.8,"1"
2011,683932,"north dakota",1936.7,247,"2"
2011,11544951,"ohio",3354.7,307.4,"1"
2011,3791508,"oklahoma",3356.2,454.8,"1"
2011,3871859,"oregon",3114.6,247.6,"1"
2011,12742886,"pennsylvania",2222.3,355,"2"
2011,3706690,"puerto rico",1395.2,284.4,"2"
2011,1051302,"rhode island",2676.8,247.5,"1"
2011,4679230,"south carolina",3904.2,571.9,"1"
2011,824082,"south dakota",1817.7,254.1,"2"
2011,6403353,"tennessee",3595.9,608.2,"1"
2011,25674681,"texas",3472.3,408.5,"1"
2011,2817222,"utah",2973.1,195,"1"
2011,626431,"vermont",2309,135.2,"2"
2011,8096604,"virginia",2249.6,196.7,"2"
2011,6830038,"washington",3574.6,294.6,"1"
2011,1855364,"west virginia",2273.9,315.9,"2"
2011,5711767,"wisconsin",2432.7,236.9,"2"
2011,568158,"wyoming",2266.4,219.3,"2"
2012,4822023,"alabama",3502.2,449.9,"1"
2012,731449,"alaska",2739.4,603.2,"2"
2012,6553255,"arizona",3539.2,428.9,"1"
2012,2949131,"arkansas",3660.1,469.1,"1"
2012,38041430,"california",2758.7,423.1,"2"
2012,5187582,"colorado",2684.7,308.9,"2"
2012,3590347,"connecticut",2140,283,"2"
2012,917092,"delaware",3340.9,547.4,"1"
2012,632323,"district of columbia",4860.8,1243.7,"3"
2012,19317568,"florida",3276.7,487.1,"1"
2012,9919945,"georgia",3410.6,378.9,"1"
2012,1392313,"hawaii",3075.2,239.2,"1"
2012,1595728,"idaho",1983.5,207.9,"2"
2012,12875255,"illinois",2578.7,414.8,"2"
2012,6537334,"indiana",3029.2,345.7,"1"
2012,3074186,"iowa",2271.8,263.9,"2"
2012,2885905,"kansas",3143.2,354.6,"1"
2012,4380415,"kentucky",2552.9,222.6,"2"
2012,4601893,"louisiana",3540.6,496.9,"1"
2012,1329192,"maine",2509.9,122.7,"1"
2012,5884563,"maryland",2753.5,476.8,"2"
2012,6646144,"massachusetts",2153,405.5,"2"
2012,9883360,"michigan",2530.5,454.5,"2"
2012,5379139,"minnesota",2568.3,230.9,"2"
2012,2984926,"mississippi",2811,260.8,"1"
